dynamics,tau,alpha,k_equivalent,tracking_mse,tracking_rmse,tracking_mse_sd,tracking_mse_se,n_games,n_replications
smooth,800,0.003020783854286946,0.5247639035757029,0.6851625036785007,0.8277454341030827,0.0056461427342325,0.0017854671034585445,64000,10
smooth,800,0.003650054037728276,0.6340793308936296,0.6490674298889101,0.8056472118048383,0.006439727732365237,0.0020364207145625365,64000,10
smooth,800,0.004410409721777782,0.7661666420402187,0.6033582283596488,0.7767613715676448,0.007208738491551489,0.0022796032689829174,64000,10
smooth,800,0.005329157791334604,0.9257695287873359,0.5480506249044691,0.7403044136735031,0.007880277649753865,0.0024919625967740828,64000,10
smooth,800,0.006439293525204423,1.1186198581406475,0.4845903018675801,0.6961252055970824,0.008373840886563533,0.0026480409965384437,64000,10
smooth,800,0.007780685565580791,1.3516435226224077,0.4159535494997247,0.6449446096369243,0.008620730249570524,0.0027261142682554643,64000,10
smooth,800,0.009401507732715982,1.633209171955721,0.3462314175555264,0.5884143247368527,0.008584370424963284,0.002714616282147153,64000,10
smooth,800,0.011359969105976928,1.9734287589268786,0.2797754215682421,0.5289380129733938,0.008272053356024727,0.002615852953147786,64000,10
smooth,800,0.013726404504213443,2.3845206930207357,0.22024446593897767,0.4693021051934219,0.007732488077711467,0.0024452274305665303,64000,10
smooth,800,0.016585800441495827,2.881248643876062,0.16994862658370133,0.4122482584362259,0.007041105104353771,0.0022265929374395473,64000,10
smooth,800,0.020040847273638366,3.481451753442788,0.12969650004412683,0.360134002899097,0.006280644635947093,0.0019861142223711855,64000,10
smooth,800,0.024215627148174927,4.206685298511579,0.0990786613124414,0.3147676306617969,0.005524888762703518,0.0017471232309212651,64000,10
smooth,800,0.029260070204255792,5.082994811924018,0.07695378905243597,0.27740545966587604,0.004829718944026597,0.0015272912321587322,64000,10
smooth,800,0.03535533905932737,6.141851463713753,0.061911398435631704,0.24882001212850968,0.004231352520137481,0.0013380711546727927,64000,10
smooth,800,0.04272033495730271,7.421282294806062,0.05259367966919696,0.22933311943371146,0.003749067209831922,0.0011855591484121284,64000,10
smooth,800,0.05161955923550008,8.96723589370229,0.047864994343076055,0.21878069920145163,0.0033893917264589003,0.0010718197738140514,64000,10
smooth,800,0.06237261244160289,10.835232562111297,0.0468710068215534,0.21649712889909972,0.003149791643470682,0.0009960515748332383,64000,10
smooth,800,0.07536567224531646,13.092358232427998,0.04903678091107975,0.22144250023669745,0.0030213545229371363,0.0009554361911332797,64000,10
smooth,800,0.09106536235445348,15.819673745223703,0.054040141247696336,0.23246535494068,0.0029911262712478954,0.0009458771786309963,64000,10
smooth,800,0.11003551051404936,19.115126011863556,0.061781435224293614,0.24855871584857694,0.0030447504955025853,0.0009628346472714428,64000,10
smooth,800,0.1329573974236247,23.09706561171913,0.07236018495195459,0.2689984850365418,0.0031689236313730226,0.0010021016406270564,64000,10
smooth,800,0.16065422377811936,27.908497152514965,0.08606343283461819,0.2933656981220166,0.0033525385105877856,0.0010601657636885925,64000,10
smooth,800,0.1941206741247779,33.722215038292155,0.10336831106496595,0.3215094260903807,0.0035863033701359643,0.001134088702996753,64000,10
smooth,800,0.23455863927177067,40.74700908738615,0.12496072996419168,0.353497850013535,0.0038619777449115317,0.0012212645946801193,64000,10
smooth,800,0.2834203801582724,49.235162864663835,0.15177219401835998,0.3895795092383068,0.0041727619886222445,0.0013195432017819905,64000,10
smooth,800,0.3424606833431912,59.491514017905914,0.18503807125631672,0.43016051801195876,0.004515595828269577,0.0014279567810086412,64000,10
smooth,800,0.4137998811884742,71.88440200495022,0.22638395633082956,0.47579823069325256,0.004894540956660688,0.0015477897524027262,64000,10
smooth,800,0.5,86.85889638065036,0.27795169994823327,0.5272112479341021,0.005322699261058054,0.0016831852965038623,64000,10
ou,50,0.0025,0.43429448190325176,1.4901742383724499,1.2207269303052382,0.06637018005167605,0.020988093767876817,40000,10
ou,50,0.003020783854286946,0.5247639035757029,1.4819247659066168,1.2173433229400064,0.0660719776197251,0.02089379387900018,40000,10
